연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
3229,공감(English)영어교습소,일반전문학원,13599,경기 성남시 분당구 내정로 172  (수내동),2025-06-26
3230,공감나누미,식품잡화,13555,"경기 성남시 분당구 성남대로 381,  505호 506 폴라리스빌딩 (정자동)",2025-06-26
3231,공감동김밥본점,한식,13630,경기도 성남시 분당구 성남대로 151  1층 115-3호,2025-06-26
3232,공감디자인,조명  및  전기자재  실내장식,13597,경기도 성남시 분당구 내정로165번길 38  601동167호,2025-06-26
3233,공감하우스,"건설,건축  자재",13632,"경기 성남시 분당구 미금일로 83,  1층 102호 (구미동)",2025-06-26
3234,공감학원,일반전문학원,13291,경기도 성남시 수정구 수정북로 63  2층,2025-06-26
3235,공감헤어,"이용,미용",13587,"경기 성남시 분당구 분당로263번길 39 ,  201호 일부 가운데점포201-2호 임대 (서현동)",2025-06-26
3236,공구이야기 주식회사,"건설,건축  자재",13403,경기도 성남시 중원구 둔촌대로 388  크란츠 테크노 1201호,2025-06-26
3237,공군15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1,2025-06-26
3238,공군제15특수임무비행단,식품잡화,13103,"경기 성남시 수정구 심곡로37번길 5-4,  사서함 337-1호 (심곡동)",2025-06-26
3239,공군제15특수임무비행단,식품잡화,13103,"경기 성남시 수정구 심곡로37번길 5-4,  사서함 337-1호 (심곡동)",2025-06-26
3240,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3241,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3242,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3243,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3244,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3245,공군제15특수임무비행단,연금매장,461350,경기  성남시  수정구  심곡동  사서함제337-1호,2025-06-26
3246,공군제15특수임무비행단,실외골프장,13103,"경기 성남시 수정구 심곡로37번길 5-4,  (사서함제337-1호) (심곡동)",2025-06-26
3247,공군제15특수임무비행단,유치원,13103,"경기 성남시 수정구 심곡로37번길 5-4,  사서함 337-1호 (심곡동)",2025-06-26
3248,공군제15특수임무비행단,유치원,13102,경기  성남시  수정구  심곡동  54번지,2025-06-26
3249,공능기물,식품잡화,13372,경기도 성남시 중원구 둔촌대로151번길 11  1층 가047호,2025-06-26
3250,공단숯불갈비,한식,13213,"경기 성남시 중원구 순환로 124,  1층 (상대원동, 아트빌라)",2025-06-26
3251,공단약국,약국,13228,경기 성남시 중원구 둔촌대로 431  (상대원동),2025-06-26
3252,공단정밀,기계류제조업,13226,경기도 성남시 중원구 둔촌대로 403  1층,2025-06-26
3253,공단종합상사,"건설,건축  자재",13207,"경기 성남시 중원구 사기막골로 124,  B201호 (상대원동, SKn테크노파크)",2025-06-26
3254,공덕한의원,"한의원,한약방",13377,"경기 성남시 중원구 둔촌대로83번길 11,  1층 (성남동, 로얄빌딩)",2025-06-26
3255,공드리미술학원,일반전문학원,13640,경기도 성남시 수정구 위례광장로 310  A동 801호 (우성트램타워),2025-06-26
3256,공릉동멸치국수,한식,13407,경기 성남시 중원구 둔촌대로 236  (하대원동),2025-06-26
3257,공릉동멸치국수,한식,13612,경기도 성남시 분당구 내정로17번길 2  에이동 1001호 일부(정자동 한솔프라자),2025-06-26
3258,공방 솜니움,생활잡화,13130,경기도 성남시 수정구 수정남로268번길 22-5  (산성동),2025-06-26
3259,공방한땀한땀,"기계,장비임대업",13272,"경기 성남시 수정구 산성대로 331,  1동 1611호 (신흥동, 한신프라자)",2025-06-26
